"Компания",MOEX,"Тикер",URL,"Количество прогнозов","Сводная рекомендация","Прогноз доходности, avg, %","Доходность за последние полгода, %","Дивидентная доходность, avg, %","Валюта цены","Цена текущая","Цена прогноз","Цена прогноз min","Цена прогноз max","Количество акций в одном стандартном лоте",P/E,"Режим торгов","Уровень листинга",ISIN
AMD,0,AMD,https://www.tinkoff.ru/invest/stocks/AMD/,4,"Покупать","19,89","32,13%",,$,"52,35 $","62,88 $","52 $","67,5 $",,,,,
Alibaba,1,BABA,https://www.tinkoff.ru/invest/stocks/BABA/,8,"Покупать","19,04","9,95%",,$,"219,91 $","261,75 $","235 $","290 $",,,EQRD,,US01609W1027
Amazon.com,1,AMZN,https://www.tinkoff.ru/invest/stocks/AMZN/,4,"Держать","10,83","41,65%",,$,"2 465,55 $","2 731,25 $","2 525 $","3 000 $",,,EQRD,,US0231351067
"Analog Devices",0,ADI,https://www.tinkoff.ru/invest/stocks/ADI/,6,"Держать","5,09","11,43%",,$,"126,44 $","132,84 $","115 $","145 $",,,,,
BOEING,1,BA,https://www.tinkoff.ru/invest/stocks/BA/,0,,,"-38,47%",,$,"212,76 $",,,,,,EQRD,,US0970231058
"Best Buy Co.",0,BBY,https://www.tinkoff.ru/invest/stocks/BBY/,7,"Держать","9,21","2,99%",,$,"82,75 $","90,43 $","80 $","105 $",,,,,
Broadcom,0,AVGO,https://www.tinkoff.ru/invest/stocks/AVGO/,2,"Держать","10,55","4,67%",,$,"325,86 $","360 $","360 $","360 $",,,,,
Chevron,0,CVX,https://www.tinkoff.ru/invest/stocks/CVX/,6,"Держать","5,74","-13,01%",,$,"101,21 $","106,84 $","92 $","125 $",,,,,
"Columbia Sportswear Company",0,COLM,https://www.tinkoff.ru/invest/stocks/COLM/,1,"Держать","4,75","-6,38%",,$,"85,74 $","90 $","90 $","90 $",,,,,
"Dolby Laboratories Inc",0,DLB,https://www.tinkoff.ru/invest/stocks/DLB/,1,"Держать","5,59","-3,72%",,$,"64,38 $","68 $","68 $","68 $",,,,,
"Electronic Arts",0,EA,https://www.tinkoff.ru/invest/stocks/EA/,3,"Держать","7,76","15,33%",,$,"117,77 $","127 $","122 $","130 $",,,,,
Equifax,0,EFX,https://www.tinkoff.ru/invest/stocks/EFX/,1,"Держать","-6,9","28,39%",,$,"177,27 $","165 $","165 $","165 $",,,,,
"FLIR Systems",0,FLIR,https://www.tinkoff.ru/invest/stocks/FLIR/,1,"Держать","9,77","-10,1%",,$,"47,43 $","52 $","52 $","52 $",,,,,
Facebook,1,FB,https://www.tinkoff.ru/invest/stocks/FB/,4,"Держать","9,58","15,19%",,$,"229,67 $","252 $","240 $","260 $",,,EQRD,,US30303M1027
"First Solar",0,FSLR,https://www.tinkoff.ru/invest/stocks/FSLR/,7,"Покупать","24,56","-0,63%",,$,"51,97 $","64,72 $","54 $","76 $",,,,,
Ford,0,F,https://www.tinkoff.ru/invest/stocks/F/,1,"Продавать","-51,66","-18,92%",,$,"7,25 $","3,5 $","3,5 $","3,5 $",,,,,
GILEAD,0,GILD,https://www.tinkoff.ru/invest/stocks/GILD/,6,"Держать","-1,53","17,02%",,$,"77,15 $","75,84 $","64 $","84 $",,,,,
Garmin,0,GRMN,https://www.tinkoff.ru/invest/stocks/GRMN/,0,,,"0,74%",,$,"96,38 $",,,,,,,,
"General Electric Company",0,GE,https://www.tinkoff.ru/invest/stocks/GE/,7,"Держать","10,64","-23,35%",,$,"8,28 $","9,15 $","5 $","15 $",,,,,
"General Motors",0,GM,https://www.tinkoff.ru/invest/stocks/GM/,2,"Покупать","33,02","-14,87%",,$,"30,06 $","40 $","40 $","40 $",,,,,
"Goldman Sachs",0,GS,https://www.tinkoff.ru/invest/stocks/GS/,4,"Покупать","17,26","2,06%",,$,"221,61 $","259,75 $","236 $","282 $",,,,,
Google,1,GOOG,https://www.tinkoff.ru/invest/stocks/GOOG/,0,,,"7,67%",,$,"1 430 $",,,,,,EQRD,,US02079K1079
HP,0,HPQ,https://www.tinkoff.ru/invest/stocks/HPQ/,6,"Покупать","17,34","-13,93%",,$,"17,49 $","20,5 $","11 $","28 $",,,,,
Honeywell,0,HON,https://www.tinkoff.ru/invest/stocks/HON/,1,"Держать","-8,1","-6,79%",,$,"162,27 $","149 $","149 $","149 $",,,,,
IBM,0,IBM,https://www.tinkoff.ru/invest/stocks/IBM/,4,"Держать","1,68","0,62%",,$,"132,75 $","135 $","125 $","147 $",,,,,
"IPG Photonics Corporation",0,IPGP,https://www.tinkoff.ru/invest/stocks/IPGP/,3,"Держать","5,77","19,79%",,$,"168,03 $","177,6 $","173,8 $","184 $",,,,,
"Intel Corporation",1,INTC,https://www.tinkoff.ru/invest/stocks/INTC/,3,"Держать","-0,48","15,01%",,$,"64,5 $","64 $","60 $","70 $",,,EQRD,,US4581401001
"LG Display",0,LPL,https://www.tinkoff.ru/invest/stocks/LPL/,0,,,"-15,22%",,$,"5,19 $",,,,,,,,
"Lockheed Martin",0,LMT,https://www.tinkoff.ru/invest/stocks/LMT/,8,"Держать","5,07","7,23%",,$,"413,83 $","435 $","377 $","507 $",,,,,
"Manchester United Plc",0,MANU,https://www.tinkoff.ru/invest/stocks/MANU/,1,"Держать","2,04","-3,5%",,$,"17,66 $","18 $","18 $","18 $",,,,,
Mastercard,0,MA,https://www.tinkoff.ru/invest/stocks/MA/,2,"Держать","4,14","6,21%",,$,"307,85 $","321 $","308 $","334 $",,,,,
"Microchip Technology",0,MCHP,https://www.tinkoff.ru/invest/stocks/MCHP/,4,"Держать","7,64","16,44%",,$,"112,62 $","121,25 $","115 $","130 $",,,,,
"Micron Technology",0,MU,https://www.tinkoff.ru/invest/stocks/MU/,4,"Держать","8,45","15,29%",,$,"53,76 $","58,25 $","48 $","66 $",,,,,
"Microsoft Corporation",1,MSFT,https://www.tinkoff.ru/invest/stocks/MSFT/,5,"Держать","6,97","23,7%",,$,"185,48 $","198,6 $","185 $","208 $",,,EQRD,,US5949181045
"Motorola Solutions",0,MSI,https://www.tinkoff.ru/invest/stocks/MSI/,4,"Держать","11,72","-3,76%",,$,"154,46 $","172,5 $","157 $","210 $",,,,,
NIKE,1,NKE,https://www.tinkoff.ru/invest/stocks/NKE/,1,"Держать","-6,18","6,84%",,$,"102,35 $","96 $","96 $","96 $",,,EQRD,,US6541061031
"NRG Energy",0,NRG,https://www.tinkoff.ru/invest/stocks/NRG/,4,"Покупать","24,06","-4,54%",,$,"36,86 $","45,63 $","41 $","54 $",,,,,
NVIDIA,1,NVDA,https://www.tinkoff.ru/invest/stocks/NVDA/,2,"Покупать","18,16","69,29%",,$,"353,45 $","417,5 $","410 $","425 $",,,EQRD,,US67066G1040
Netflix,0,NFLX,https://www.tinkoff.ru/invest/stocks/NFLX/,7,"Покупать",25,"36,91%",,$,"414,66 $","518,58 $","500 $","540 $",,,,,
"Otis Worldwide",0,OTIS,https://www.tinkoff.ru/invest/stocks/OTIS/,2,"Держать","5,23","18,9%",,$,"57,29 $","60 $","56 $","64 $",,,,,
Pfizer,1,PFE,https://www.tinkoff.ru/invest/stocks/PFE/,3,"Держать","0,25","-4,68%",,$,"36,26 $","36,34 $","35 $","37 $",,,EQRD,,US7170811035
"Pluralsight Inc",0,PS,https://www.tinkoff.ru/invest/stocks/PS/,1,"Покупать","28,27","25,53%",,$,"20,27 $","26 $","26 $","26 $",,,,,
QIWI,1,QIWI,https://www.tinkoff.ru/invest/stocks/QIWI/,0,,,"-20,66%",,"₽","1 006,5 ₽",,,,1,,TQBR,1,US74735M1080
Qualcomm,0,QCOM,https://www.tinkoff.ru/invest/stocks/QCOM/,5,"Держать","6,68","7,6%",,$,"88,86 $","94,8 $","83 $","102 $",,,,,
"Royal Dutch Shell (A)",0,RDS.A,https://www.tinkoff.ru/invest/stocks/RDS.A/,1,"Покупать","66,1","-32,59%",,$,"38,09 $","63,2 $","63,2 $","63,2 $",,,,,
Schlumberger,0,SLB,https://www.tinkoff.ru/invest/stocks/SLB/,0,,,"-37,85%",,$,"22,28 $",,,,,,,,
"Silicon Laboratories Inc",0,SLAB,https://www.tinkoff.ru/invest/stocks/SLAB/,2,"Покупать","22,23","-10,51%",,$,"96,18 $","117,5 $","115 $","120 $",,,,,
"Stanley Black & Decker",0,SWK,https://www.tinkoff.ru/invest/stocks/SWK/,1,"Держать","6,62","-5,36%",,$,"149,05 $","159 $","159 $","159 $",,,,,
"TCS Group (Tinkoff Bank holder)",0,TCS,https://www.tinkoff.ru/invest/stocks/TCS/,7,"Покупать","19,69","-1,98%",,$,"17,85 $","21,28 $","18,7 $","29,7 $",,,,,
"Texas Instruments",0,TXN,https://www.tinkoff.ru/invest/stocks/TXN/,1,"Держать","6,03","9,32%",,$,"132,03 $","140 $","140 $","140 $",,,,,
"Ubiquiti Inc",0,UI,https://www.tinkoff.ru/invest/stocks/UI/,2,"Продавать","-28,33","-8,22%",,$,"180,23 $","129 $","126 $","132 $",,,,,
"Wal-Mart Stores",0,WMT,https://www.tinkoff.ru/invest/stocks/WMT/,7,"Держать","10,23","1,98%",,$,"121,06 $","133,72 $","125 $","140 $",,,,,
"Walt Disney",0,DIS,https://www.tinkoff.ru/invest/stocks/DIS/,4,"Держать","-7,9",-14%,,$,"126,79 $","116,75 $","85 $","140 $",,,,,
Xerox,0,XRX,https://www.tinkoff.ru/invest/stocks/XRX/,2,"Держать","-5,36","-49,71%",,$,"19,03 $","18 $","13 $","23 $",,,,,
Xilinx,0,XLNX,https://www.tinkoff.ru/invest/stocks/XLNX/,4,"Держать","0,82","7,7%",,$,"97,67 $","98,5 $","90 $","105 $",,,,,
Yandex,1,YNDX,https://www.tinkoff.ru/invest/stocks/YNDX/,0,,,"12,21%",,"₽","2 882 ₽",,,,1,,TQBR,1,NL0009805522
eBay,0,EBAY,https://www.tinkoff.ru/invest/stocks/EBAY/,1,"Покупать","21,57","38,95%",,$,"48,35 $","59 $","59 $","59 $",,,,,
"Аэрофлот",1,AFLT,https://www.tinkoff.ru/invest/stocks/AFLT/,3,"Держать","-14,49","-12,55%",,"₽","89,36 ₽","76,34 ₽","51 ₽","110 ₽",10,,TQBR,1,RU0009062285
"Банк Санкт-Петербург",1,BSPB,https://www.tinkoff.ru/invest/stocks/BSPB/,1,"Покупать","33,72","-18,21%",,"₽","41,13 ₽","55 ₽","55 ₽","55 ₽",10,,TQBR,1,RU0009100945
"ГДР X5 RetailGroup",1,FIVE,https://www.tinkoff.ru/invest/stocks/FIVE/,0,,,"4,38%",,"₽","2 148,5 ₽",,,,1,,TQBR,1,US98387E2054
